日付,避難所名,開設状況,収容人数,避難世帯数,避難人数,緯度,経度,所在地,電話番号
2025-03-23 20:45:00,桜井公民館,開設,99,0,0,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-23 22:30:00,桜井公民館,開設,99,4,4,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-23 23:14:00,桜井公民館,開設,99,0,0,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 00:12:00,桜井公民館,開設,99,1,1,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 02:19:00,桜井公民館,開設,99,0,0,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 14:03:00,桜井公民館,開設,99,1,2,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 14:17:00,朝倉公民館,開設,290,0,0,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 14:17:00,桜井公民館,開設,99,1,2,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 14:42:00,朝倉公民館,開設,290,0,0,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 14:42:00,桜井公民館,開設,99,3,4,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 15:13:00,朝倉公民館,開設,290,0,0,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 15:13:00,桜井公民館,開設,99,3,5,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 15:30:00,朝倉公民館,開設,290,1,1,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 15:30:00,桜井公民館,開設,99,3,5,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 15:53:00,朝倉公民館,開設,290,1,1,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 15:53:00,桜井公民館,開設,99,4,7,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 16:28:00,朝倉公民館,開設,290,1,1,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 16:28:00,桜井公民館,開設,99,5,8,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 16:52:00,朝倉公民館,開設,290,1,1,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 16:52:00,桜井公民館,開設,99,4,6,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 17:27:00,朝倉公民館,開設,290,0,0,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 17:27:00,桜井公民館,開設,99,4,6,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 17:29:00,朝倉公民館,開設,290,1,1,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 17:29:00,桜井公民館,開設,99,4,6,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
2025-03-24 17:38:00,朝倉公民館,開設,290,1,1,33.99602169,133.022302,愛媛県今治市朝倉北甲393,0898-56-2024
2025-03-24 17:38:00,桜井公民館,開設,99,7,15,34.01856436,133.0356102,愛媛県今治市桜井3丁目6-8,0898-48-0001
